card_no,adv_tag
SFD-088,"[""主动·支付费用技能"", ""牌库·抽牌"", ""主动·横置技能""]"
SFD-089,"[""持续·光环常驻"", ""战力·增强群体"", ""特性·属性联动"", ""触发·据守"", ""衍生·单位""]"
SFD-090,"[""主动·支付费用技能"", ""牌库·放逐"", ""牌库·打出"", ""费用·免费打出"", ""触发·摧毁""]"
SFD-091,"[""触发·进场"", ""牌库·抽牌"", ""增益·给予""]"
SFD-092,"[""费用·减费""]"
SFD-093,"[""位置·开放战场""]"
SFD-094,"[""特性·属性联动"", ""状态·以活跃进场""]"
SFD-095,[]
SFD-096,"[""移动·单位""]"
SFD-097,"[""战力·增强单体"", ""战力·增强本回合""]"
SFD-098,"[""费用·可选额外"", ""触发·进场"", ""增益·给予""]"
SFD-099,"[""费用·减费""]"
SFD-100,"[""触发·打出"", ""牌库·抽牌""]"
SFD-101,"[""触发·进场"", ""增益·给予"", ""增益·消耗"", ""衍生·装备""]"
SFD-102,[]
SFD-103,"[""费用·条件减费""]"
SFD-104,"[""持续·光环常驻""]"
SFD-105,"[""持续·光环常驻"", ""状态·免疫""]"
SFD-106,"[""牌库·抽牌""]"
SFD-107,"[""伤害·单体"", ""伤害·等同战力""]"
SFD-108,"[""触发·征服"", ""增益·给予""]"
SFD-109,"[""费用·减费"", ""费用·可选额外"", ""触发·进场"", ""互动·夺控"", ""移动·单位""]"
SFD-110,"[""触发·进攻"", ""触发·防守"", ""战力·调整""]"
SFD-111,"[""费用·减费""]"
SFD-112,"[""触发·移动"", ""战力·增强单体"", ""战力·增强本回合"", ""复制·效果技能""]"
SFD-113,"[""费用·减费"", ""触发·征服"", ""状态·激活"", ""频率·每回合限一次""]"
SFD-114,"[""伤害·等同战力"", ""费用·可选额外""]"
SFD-115,"[""触发·据守""]"
SFD-116,"[""费用·减费"", ""触发·征服"", ""伤害·单体"", ""伤害·对基地"", ""伤害·等同战力""]"
SFD-117,"[""主动·横置技能"", ""资源·获得费用"", ""费用·可选额外""]"
SFD-118,"[""触发·征服"", ""符文·召出""]"
SFD-119,"[""费用·减费"", ""费用·可选额外"", ""牌库·抽牌""]"
SFD-120,"[""触发·征服"", ""伤害·过量伤害联动"", ""伤害·单体"", ""伤害·等同战力""]"
SFD-121,"[""触发·打出"", ""衍生·装备""]"
SFD-122,"[""牌库·查看"", ""牌库·抽牌"", ""牌库·放回"", ""费用·可选额外""]"
SFD-123,"[""触发·移动"", ""牌库·弃牌"", ""触发·战斗"", ""牌库·抽牌""]"
SFD-124,"[""触发·征服"", ""牌库·弃牌"", ""牌库·抽牌""]"
SFD-125,"[""触发·移动"", ""费用·可选额外"", ""移动·单位""]"
SFD-126,"[""触发·防守"", ""移动·单位""]"
SFD-127,"[""费用·减费""]"
SFD-128,"[""触发·防守"", ""摧毁·单位"", ""移动·单位"", ""互动·召回基地""]"
SFD-129,"[""移动·敌方"", ""费用·可选额外""]"
SFD-130,"[""触发·移动"", ""衍生·装备""]"
SFD-131,"[""战力·条件加成"", ""战力·永久成长""]"
SFD-132,"[""触发·进场"", ""互动·返回手牌""]"
SFD-133,"[""移动·单位""]"
SFD-134,"[""触发·征服"", ""衍生·装备""]"
SFD-135,"[""互动·返回手牌""]"
SFD-136,"[""反制·无效化法术"", ""费用·可选额外""]"
SFD-137,"[""触发·移动"", ""战力·增强单体"", ""战力·增强本回合""]"
SFD-138,"[""触发·进场"", ""互动·返回手牌""]"
SFD-139,"[""触发·进场""]"
SFD-140,"[""触发·进场"", ""牌库·打出"", ""费用·免费打出"", ""牌库·回收""]"
SFD-141,"[""费用·减费"", ""持续·光环常驻""]"
SFD-142,"[""触发·被选为目标"", ""牌库·抽牌""]"
SFD-143,"[""战力·条件加成"", ""战力·增强本回合"", ""移动·单位""]"
SFD-144,"[""触发·被选为目标"", ""费用·可选额外"", ""状态·休眠化"", ""牌库·抽牌""]"
SFD-145,"[""战力·调整""]"
SFD-146,"[""持续·光环常驻"", ""费用·减费"", ""费用·加费""]"
SFD-147,"[""互动·返回手牌""]"
SFD-148,"[""触发·战斗"", ""频率·每回合限一次"", ""触发·摧毁""]"
SFD-149,"[""触发·进场"", ""牌库·弃牌"", ""牌库·抽牌"", ""费用·减费""]"
SFD-150,"[""触发·征服"", ""触发·据守"", ""牌库·打出""]"
SFD-151,"[""战力·增强单体"", ""战力·增强本回合"", ""费用·可选额外""]"
SFD-152,"[""触发·据守"", ""衍生·装备""]"
SFD-153,"[""触发·移动"", ""衍生·单位""]"
SFD-154,"[""衍生·单位"", ""费用·可选额外"", ""状态·激活""]"
SFD-155,"[""触发·摧毁"", ""衍生·装备""]"
SFD-156,[]
SFD-157,"[""触发·进场"", ""衍生·单位""]"
SFD-158,"[""触发·进场"", ""摧毁·单位""]"
SFD-159,"[""战力·条件加成""]"
SFD-160,"[""费用·可选额外"", ""摧毁·装备"", ""触发·进场""]"
SFD-161,[]
SFD-162,"[""摧毁·单位"", ""衍生·装备""]"
SFD-163,"[""摧毁·单位"", ""战力·增强单体"", ""战力·增强本回合"", ""牌库·抽牌""]"
SFD-164,"[""费用·条件减费"", ""摧毁·单位""]"
SFD-165,"[""触发·摧毁"", ""牌库·打出"", ""费用·免费打出""]"
SFD-166,"[""触发·打出"", ""增益·给予"", ""牌库·抽牌""]"
SFD-167,"[""触发·摧毁"", ""牌库·抽牌"", ""战力·条件加成""]"
SFD-168,"[""主动·横置技能"", ""衍生·单位""]"
SFD-169,"[""触发·摧毁"", ""状态·休眠化"", ""牌库·抽牌"", ""牌库·放回""]"
SFD-170,"[""触发·进攻"", ""牌库·查看"", ""牌库·放逐"", ""费用·免费打出"", ""牌库·放回""]"
SFD-171,"[""持续·光环常驻"", ""状态·以活跃进场""]"
SFD-172,"[""触发·摧毁"", ""牌库·抽牌""]"
SFD-173,"[""保护·免死替身"", ""触发·摧毁"", ""状态·休眠化"", ""互动·召回基地""]"
SFD-174,"[""触发·进场"", ""衍生·装备""]"
SFD-175,"[""触发·进场"", ""战力·增强群体"", ""战力·增强本回合"", ""资源·获得费用""]"
SFD-176,"[""状态·以活跃进场""]"
SFD-177,"[""触发·进攻"", ""移动·单位""]"
SFD-178,"[""费用·强制额外"", ""摧毁·单位""]"
SFD-179,"[""触发·移动"", ""衍生·单位""]"
SFD-180,"[""费用·可选额外"", ""状态·激活""]"
SFD-181,"[""持续·光环常驻"", ""战力·条件加成"", ""特性·属性联动""]"
SFD-182,"[""战力·增强群体"", ""战力·增强本回合"", ""特性·属性联动"", ""费用·可选额外""]"
SFD-183,"[""持续·光环常驻"", ""战力·条件加成""]"
SFD-184,"[""移动·单位"", ""触发·征服"", ""互动·召回基地""]"
SFD-185,"[""触发·战斗"", ""牌库·抽牌""]"
SFD-186,[]
SFD-187,"[""触发·征服"", ""状态·休眠化"", ""牌库·查看"", ""费用·免费打出"", ""牌库·放回""]"
SFD-188,"[""牌库·查看"", ""牌库·放逐"", ""费用·减费"", ""牌库·抽牌""]"
SFD-189,"[""主动·横置技能"", ""资源·获得费用""]"
SFD-190,"[""触发·进攻"", ""触发·防守"", ""伤害·群体""]"
SFD-191,"[""持续·光环常驻"", ""伤害·法术伤害加成""]"
SFD-192,"[""触发·进场"", ""状态·激活"", ""持续·光环常驻"", ""移动·单位""]"
SFD-193,"[""主动·横置技能"", ""主动·支付费用技能""]"
SFD-194,"[""保护·抵挡伤害"", ""牌库·抽牌""]"
SFD-195,"[""触发·被选为目标"", ""状态·休眠化"", ""费用·可选额外"", ""状态·激活"", ""触发·征服""]"
SFD-196,"[""战力·增强单体"", ""战力·增强本回合"", ""战力·削弱""]"
SFD-197,"[""持续·光环常驻"", ""主动·横置技能"", ""主动·支付费用技能"", ""衍生·单位""]"
SFD-198,"[""衍生·单位"", ""状态·激活""]"
SFD-199,"[""主动·横置技能"", ""牌库·抽牌""]"
SFD-200,"[""牌库·放逐"", ""费用·免费打出"", ""伤害·单体""]"
SFD-201,"[""触发·据守"", ""状态·休眠化"", ""衍生·装备"", ""资源·获得费用""]"
SFD-202,"[""互动·夺控"", ""状态·激活"", ""触发·回合结束"", ""互动·召回基地""]"
SFD-203,"[""状态·休眠化"", ""衍生·装备"", ""触发·摧毁"", ""状态·激活""]"
SFD-204,"[""状态·激活""]"
SFD-205,"[""状态·休眠化"", ""符文·召出""]"
SFD-206,"[""反制·无效化法术"", ""战力·增强单体"", ""战力·增强本回合""]"
SFD-207,"[""触发·征服"", ""费用·可选额外"", ""互动·返回手牌"", ""衍生·单位""]"
SFD-208,"[""持续·光环常驻"", ""主动·横置技能""]"
SFD-209,"[""持续·光环常驻"", ""限制·行动禁止""]"
SFD-210,"[""触发·征服"", ""费用·可选额外"", ""状态·激活""]"
SFD-211,"[""持续·光环常驻"", ""费用·减费""]"
SFD-212,"[""触发·征服"", ""牌库·燃烧""]"
SFD-213,"[""持续·光环常驻"", ""费用·减费""]"
SFD-214,"[""触发·据守"", ""费用·可选额外""]"
SFD-215,"[""触发·防守"", ""牌库·查看"", ""牌库·抽牌"", ""牌库·放回""]"
SFD-216,"[""持续·光环常驻"", ""限制·行动禁止""]"
SFD-217,"[""触发·征服"", ""牌库·抽牌""]"
SFD-218,"[""触发·征服"", ""费用·可选额外"", ""牌库·抽牌""]"
SFD-219,"[""触发·据守"", ""符文·召出""]"
SFD-220,"[""触发·征服"", ""费用·可选额外"", ""衍生·装备""]"
SFD-221,"[""触发·征服"", ""状态·激活""]"
SFD-T03,"[""主动·横置技能"", ""资源·获得费用"", ""摧毁·装备""]"
UNL-001,"[""状态·以活跃进场"", ""主动·横置技能"", ""战力·增强单体"", ""战力·增强本回合""]"
UNL-002,[]
UNL-003,"[""触发·进场"", ""伤害·单体""]"
UNL-004,"[""战力·条件加成""]"
UNL-005,"[""触发·打出"", ""状态·激活""]"
UNL-006,"[""状态·以活跃进场"", ""费用·可选额外""]"
UNL-007,"[""伤害·单体"", ""牌库·放逐""]"
UNL-008,"[""触发·摧毁"", ""状态·以活跃进场""]"
UNL-009,"[""状态·激活"", ""费用·可选额外""]"
UNL-010,"[""战力·增强单体"", ""战力·增强本回合"", ""移动·单位""]"
UNL-011,"[""触发·打出"", ""状态·休眠化"", ""牌库·抽牌""]"
UNL-012,"[""触发·进场"", ""战力·增强群体"", ""战力·增强本回合""]"
UNL-013,"[""伤害·法术伤害加成""]"
UNL-014,"[""伤害·单体""]"
UNL-015,"[""牌库·抽牌""]"
UNL-016,"[""经验·获得"", ""触发·征服"", ""触发·据守"", ""经验·等级奖励"", ""战力·增强单体"", ""战力·永久成长"", ""状态·以活跃进场""]"
UNL-017,"[""费用·可选额外"", ""牌库·弃牌"", ""战力·增强单体"", ""战力·增强本回合""]"
UNL-018,"[""触发·征服"", ""伤害·过量伤害联动"", ""衍生·装备""]"
UNL-019,"[""触发·回合结束"", ""伤害·单体""]"
UNL-020,"[""伤害·单体"", ""费用·可选额外"", ""伤害·法术伤害加成""]"
UNL-021,"[""触发·进场"", ""互动·返回手牌""]"
UNL-022,"[""触发·移动"", ""资源·获得费用""]"
UNL-023,"[""状态·激活"", ""触发·打出"", ""伤害·单体""]"
UNL-024,"[""状态·以活跃进场"", ""费用·可选额外""]"
UNL-025,"[""触发·打出"", ""牌库·打出"", ""费用·可选额外""]"
UNL-026,"[""主动·横置技能"", ""主动·支付费用技能"", ""伤害·单体""]"
UNL-027,"[""触发·征服"", ""战力·增强单体"", ""战力·增强本回合""]"
UNL-028,"[""费用·可选额外"", ""触发·进场"", ""状态·激活"", ""战力·增强单体"", ""战力·增强本回合""]"
UNL-029,"[""触发·征服"", ""增益·给予""]"
UNL-030,"[""主动·支付费用技能"", ""战力·调整"", ""战力·增强本回合""]"
UNL-031,"[""战力·增强单体"", ""战力·增强本回合"", ""经验·等级奖励""]"
UNL-032,"[""牌库·查看"", ""牌库·抽牌"", ""牌库·放回"", ""费用·可选额外""]"
UNL-033,"[""触发·进场"", ""衍生·单位""]"
UNL-034,"[""经验·获得"", ""触发·征服"", ""触发·据守"", ""触发·进场""]"
UNL-035,"[""费用·条件减费"", ""状态·以活跃进场""]"
UNL-036,[]
UNL-037,"[""触发·摧毁"", ""状态·以活跃进场""]"
UNL-038,"[""移动·敌方"", ""经验·等级奖励"", ""状态·眩晕""]"
UNL-039,[]
UNL-040,"[""经验·获得"", ""触发·征服"", ""触发·据守"", ""经验·等级奖励"", ""触发·进场"", ""牌库·抽牌""]"
UNL-041,"[""持续·光环常驻""]"
UNL-042,"[""状态·眩晕"", ""牌库·抽牌""]"
UNL-043,"[""触发·据守"", ""增益·给予""]"
UNL-044,"[""反制·无效化法术"", ""衍生·单位""]"
UNL-045,"[""状态·休眠化"", ""主动·横置技能"", ""移动·单位""]"
UNL-046,"[""特性·属性联动"", ""战力·增强单体"", ""战力·增强本回合""]"
UNL-047,"[""经验·获得"", ""触发·征服"", ""触发·据守"", ""经验·等级奖励"", ""战力·增强单体"", ""战力·永久成长""]"
UNL-048,"[""触发·据守"", ""衍生·单位"", ""状态·以活跃进场""]"
UNL-049,"[""状态·以休眠进场"", ""主动·横置技能"", ""资源·获得费用"", ""经验·等级奖励""]"
UNL-050,"[""触发·据守"", ""移动·敌方""]"
UNL-051,"[""触发·进场"", ""触发·据守"", ""牌库·查看"", ""牌库·抽牌"", ""牌库·放回"", ""特性·属性联动"", ""增益·给予""]"
UNL-052,"[""费用·可选额外"", ""触发·进场"", ""状态·眩晕"", ""触发·据守"", ""状态·激活"", ""增益·给予""]"
UNL-053,"[""触发·进场"", ""牌库·抽牌"", ""触发·摧毁"", ""干扰·展示手牌"", ""经验·获得""]"
UNL-054,"[""移动·敌方""]"
UNL-055,"[""状态·眩晕"", ""移动·单位""]"
UNL-056,"[""触发·进攻"", ""触发·防守"", ""战力·增强单体"", ""战力·增强本回合""]"
UNL-057,"[""持续·光环常驻"", ""状态·免疫""]"
UNL-058,"[""触发·打出"", ""战力·增强单体"", ""战力·增强本回合"", ""持续·光环常驻""]"
UNL-059,"[""经验·等级奖励"", ""费用·减费"", ""状态·免疫""]"
UNL-060,"[""持续·光环常驻"", ""限制·行动禁止"", ""触发·据守"", ""牌库·抽牌""]"
UNL-061,"[""牌库·抽牌"", ""费用·可选额外""]"
UNL-062,"[""触发·摧毁"", ""牌库·查看"", ""牌库·放回""]"
UNL-063,"[""战力·削弱"", ""牌库·查看"", ""牌库·放回""]"
UNL-064,"[""触发·进场"", ""牌库·查看"", ""牌库·抽牌"", ""牌库·放回""]"
UNL-065,"[""触发·进攻"", ""费用·可选额外"", ""战力·削弱""]"
UNL-066,"[""战力·削弱""]"
UNL-067,"[""触发·摧毁"", ""伤害·单体""]"
UNL-068,"[""触发·摧毁"", ""战力·增强单体"", ""战力·增强本回合""]"
UNL-069,"[""衍生·单位"", ""状态·以活跃进场""]"
UNL-070,[]
UNL-071,"[""触发·进场"", ""战力·增强群体"", ""战力·增强本回合""]"
UNL-072,"[""伤害·单体"", ""伤害·群体""]"
UNL-073,"[""伤害·单体"", ""触发·摧毁"", ""衍生·装备""]"
UNL-074,"[""牌库·抽牌"", ""战力·增强单体"", ""战力·增强本回合""]"
UNL-075,"[""经验·获得"", ""触发·征服"", ""触发·据守"", ""经验·等级奖励"", ""战力·增强单体"", ""战力·永久成长"", ""移动·单位""]"
UNL-076,"[""战力·条件加成"", ""战力·永久成长""]"
UNL-077,"[""持续·光环常驻"", ""战力·增强群体""]"
UNL-078,"[""触发·进场"", ""衍生·单位"", ""状态·以活跃进场"", ""触发·摧毁""]"
UNL-079,"[""费用·可选额外"", ""牌库·查看"", ""牌库·抽牌"", ""牌库·放回""]"
UNL-080,"[""触发·移动"", ""牌库·抽牌"", ""牌库·弃牌"", ""符文·激活"", ""战力·增强单体"", ""战力·增强本回合""]"
UNL-081,"[""触发·进场"", ""衍生·单位"", ""复制·效果技能""]"
UNL-082,"[""触发·移动"", ""衍生·单位""]"
UNL-083,"[""移动·换位"", ""牌库·抽牌""]"
UNL-084,"[""触发·进场"", ""触发·回合开始"", ""衍生·单位"", ""状态·以活跃进场""]"
UNL-085,"[""牌库·抽牌""]"
UNL-086,"[""频率·每回合限一次"", ""持续·光环常驻"", ""衍生·单位"", ""复制·效果技能""]"
UNL-087,"[""触发·据守"", ""资源·获得费用""]"
UNL-088,"[""触发·回合开始"", ""牌库·弃牌"", ""主动·横置技能"", ""衍生·单位""]"
UNL-089,"[""牌库·查看"", ""牌库·放回"", ""费用·可选额外""]"
UNL-090,"[""持续·光环常驻""]"
UNL-091,"[""牌库·抽牌"", ""经验·等级奖励"", ""费用·减费""]"
UNL-092,"[""触发·进场"", ""经验·获得""]"
UNL-093,"[""主动·横置技能"", ""资源·获得费用""]"
UNL-094,"[""经验·获得"", ""触发·征服"", ""触发·据守"", ""经验·等级奖励"", ""战力·增强单体"", ""战力·永久成长""]"
UNL-095,"[""战力·增强单体"", ""战力·增强本回合"", ""触发·战斗"", ""经验·获得""]"
UNL-096,"[""经验·获得"", ""触发·征服"", ""触发·据守""]"
UNL-097,"[""触发·进场"", ""牌库·抽牌""]"
UNL-098,"[""经验·等级奖励"", ""战力·增强单体"", ""战力·永久成长""]"
UNL-099,[]
UNL-100,"[""经验·获得"", ""触发·征服"", ""触发·据守""]"
UNL-101,"[""移动·单位"", ""移动·敌方""]"
UNL-102,"[""经验·获得"", ""触发·征服"", ""触发·据守"", ""经验·消耗"", ""增益·给予""]"
UNL-103,"[""牌库·放回"", ""牌库·抽牌""]"
UNL-104,"[""触发·进场"", ""触发·打出"", ""符文·激活"", ""特性·属性联动""]"
UNL-105,"[""触发·移动"", ""移动·敌方""]"
UNL-106,"[""反制·无效化技能"", ""反制·无效化法术""]"
UNL-107,"[""移动·敌方"", ""互动·召回基地"", ""经验·获得""]"
UNL-108,"[""经验·获得"", ""战力·条件加成"", ""移动·单位""]"
UNL-109,"[""触发·打出"", ""费用·可选额外"", ""经验·获得"", ""经验·消耗"", ""主动·横置技能"", ""状态·激活""]"
UNL-110,"[""伤害·等同战力""]"
UNL-111,"[""持续·光环常驻"", ""限制·行动禁止""]"
UNL-112,"[""触发·移动"", ""移动·敌方""]"
UNL-113,"[""经验·获得"", ""触发·征服"", ""触发·据守"", ""经验·等级奖励""]"
UNL-114,"[""触发·战斗"", ""牌库·抽牌""]"
UNL-115,"[""触发·移动"", ""经验·获得""]"
UNL-116,"[""触发·进场"", ""状态·激活"", ""经验·获得""]"
UNL-117,"[""经验·获得"", ""触发·征服"", ""触发·据守"", ""位置·开放战场""]"
UNL-118,"[""持续·光环常驻"", ""摧毁·单位"", ""触发·进场"", ""伤害·群体""]"
UNL-119,"[""经验·获得"", ""触发·征服"", ""触发·据守"", ""触发·进攻"", ""经验·消耗"", ""伤害·单体"", ""伤害·等同战力""]"
UNL-120,"[""位置·开放战场""]"
UNL-121,"[""触发·进场"", ""牌库·弃牌""]"
UNL-122,"[""费用·可选额外"", ""状态·以活跃进场""]"
UNL-123,"[""触发·进场"", ""牌库·弃牌"", ""牌库·抽牌""]"
UNL-124,"[""移动·敌方"", ""互动·召回基地"", ""牌库·抽牌""]"
UNL-125,"[""牌库·弃牌"", ""牌库·抽牌""]"
UNL-126,"[""经验·消耗"", ""移动·单位""]"
UNL-127,"[""触发·移动"", ""经验·获得""]"
UNL-128,"[""互动·返回手牌""]"
UNL-129,"[""触发·摧毁"", ""经验·获得""]"
UNL-130,"[""触发·进场"", ""衍生·单位""]"
UNL-131,"[""反制·无效化法术"", ""互动·返回手牌"", ""牌库·查看"", ""牌库·放回""]"
UNL-132,"[""触发·进场"", ""互动·返回手牌""]"
UNL-133,"[""触发·进场"", ""移动·敌方"", ""状态·休眠化"", ""状态·眩晕""]"
UNL-134,"[""状态·眩晕"", ""互动·返回手牌"", ""费用·可选额外""]"
UNL-135,"[""触发·进场"", ""干扰·展示手牌"", ""经验·消耗"", ""干扰·弃对手手牌"", ""牌库·抽牌""]"
UNL-136,"[""状态·以休眠进场"", ""摧毁·装备"", ""主动·横置技能"", ""主动·支付费用技能"", ""牌库·查看"", ""牌库·放回"", ""牌库·抽牌"", ""经验·获得""]"
UNL-137,"[""触发·进攻"", ""费用·可选额外"", ""移动·敌方"", ""互动·召回基地""]"
UNL-138,"[""触发·进场"", ""特性·属性联动"", ""主动·横置技能"", ""战力·削弱""]"
UNL-139,"[""干扰·展示手牌"", ""费用·免费打出"", ""状态·眩晕""]"
UNL-140,"[""经验·消耗"", ""费用·可选额外"", ""互动·夺控"", ""状态·休眠化"", ""互动·召回基地""]"
UNL-141,"[""触发·进场"", ""移动·敌方""]"
UNL-142,"[""费用·强制额外"", ""摧毁·单位"", ""牌库·打出"", ""费用·免费打出""]"
UNL-143,"[""触发·进攻"", ""触发·防守"", ""战力·条件加成"", ""战力·增强本回合"", ""经验·获得""]"
UNL-144,"[""持续·光环常驻"", ""限制·行动禁止"", ""主动·支付费用技能"", ""移动·单位""]"
UNL-145,"[""频率·每回合限一次"", ""触发·摧毁"", ""衍生·装备""]"
UNL-146,"[""持续·光环常驻""]"
UNL-147,"[""触发·进场"", ""衍生·单位"", ""状态·免疫"", ""持续·光环常驻"", ""战力·增强群体""]"
UNL-148,"[""触发·进场"", ""牌库·放逐"", ""主动·横置技能"", ""牌库·打出""]"
UNL-149,"[""触发·打出"", ""战力·增强单体"", ""战力·增强本回合""]"
UNL-150,"[""触发·打出"", ""状态·眩晕"", ""限制·行动禁止""]"
UNL-151,"[""经验·等级奖励"", ""状态·以活跃进场""]"
UNL-152,"[""触发·摧毁"", ""符文·召出""]"
UNL-153,"[""触发·摧毁"", ""衍生·单位""]"
UNL-154,"[""触发·进攻"", ""战力·条件加成""]"
UNL-155,"[""战力·增强单体"", ""战力·增强本回合"", ""状态·眩晕""]"
UNL-156,"[""触发·摧毁"", ""牌库·抽牌""]"
UNL-157,"[""触发·进场"", ""经验·获得""]"
UNL-158,"[""触发·进场"", ""经验·获得"", ""经验·消耗""]"
UNL-159,"[""摧毁·单位""]"
UNL-160,"[""主动·横置技能"", ""衍生·单位""]"
UNL-161,"[""牌库·查看"", ""牌库·放回"", ""摧毁·装备"", ""主动·横置技能"", ""战力·增强单体"", ""战力·增强本回合""]"
UNL-162,"[""经验·获得"", ""触发·征服"", ""触发·据守"", ""经验·消耗"", ""增益·给予""]"
UNL-163,"[""持续·光环常驻"", ""费用·加费""]"
UNL-164,"[""经验·消耗"", ""费用·可选额外"", ""触发·进场"", ""摧毁·单位""]"
UNL-165,"[""牌库·抽牌""]"
UNL-166,"[""费用·强制额外"", ""摧毁·单位"", ""特性·属性联动"", ""位置·开放战场""]"
UNL-167,"[""触发·进场"", ""牌库·回收"", ""特性·属性联动""]"
UNL-168,"[""费用·条件减费"", ""特性·属性联动"", ""牌库·打出"", ""费用·免费打出""]"
UNL-169,"[""触发·进场"", ""干扰·展示手牌"", ""牌库·放逐"", ""触发·据守"", ""互动·返回手牌""]"
UNL-170,"[""费用·可选额外"", ""摧毁·单位"", ""费用·减费"", ""触发·进攻""]"
UNL-171,"[""持续·光环常驻"", ""限制·行动禁止""]"
UNL-172,"[""触发·摧毁"", ""牌库·抽牌"", ""触发·回合开始""]"
UNL-173,"[""费用·强制额外"", ""摧毁·单位"", ""牌库·抽牌"", ""符文·召出""]"
UNL-174,"[""频率·每回合限一次"", ""触发·回合开始"", ""触发·摧毁"", ""摧毁·单位""]"
UNL-175,"[""保护·免死替身"", ""状态·休眠化"", ""互动·召回基地"", ""触发·摧毁""]"
UNL-176,"[""触发·进攻"", ""状态·眩晕""]"
UNL-177,"[""触发·进场"", ""特性·属性联动"", ""触发·征服"", ""触发·据守""]"
UNL-178,"[""经验·消耗"", ""费用·可选额外"", ""费用·减费""]"
UNL-179,"[""触发·移动"", ""牌库·查看"", ""牌库·抽牌"", ""牌库·放回"", ""触发·摧毁"", ""费用·免费打出""]"
UNL-180,"[""摧毁·单位"", ""摧毁·全体清场""]"
UNL-181,"[""触发·打出"", ""牌库·放逐"", ""符文·召出"", ""牌库·抽牌""]"
UNL-182,"[""费用·可选额外"", ""牌库·抽牌"", ""伤害·单体"", ""伤害·对基地"", ""战力·削弱""]"
UNL-183,"[""触发·打出"", ""战力·增强单体"", ""战力·增强本回合""]"
UNL-184,"[""牌库·放逐"", ""费用·免费打出""]"
UNL-185,"[""主动·横置技能"", ""主动·支付费用技能"", ""互动·返回手牌"", ""衍生·装备""]"
UNL-186,"[""摧毁·单位"", ""费用·可选额外"", ""牌库·打出""]"
UNL-187,"[""触发·征服"", ""伤害·过量伤害联动"", ""状态·休眠化"", ""状态·激活""]"
UNL-188,"[""费用·减费"", ""触发·征服"", ""伤害·过量伤害联动"", ""牌库·抽牌""]"
UNL-189,"[""主动·横置技能"", ""主动·支付费用技能"", ""衍生·单位"", ""状态·以活跃进场"", ""费用·条件减费""]"
UNL-190,"[""反制·无效化法术"", ""限制·行动禁止""]"
UNL-191,"[""经验·等级奖励"", ""战力·增强群体"", ""战力·永久成长"", ""状态·以活跃进场""]"
UNL-192,"[""伤害·群体"", ""伤害·等同战力"", ""触发·摧毁"", ""经验·获得""]"
UNL-193,"[""触发·据守"", ""状态·休眠化"", ""牌库·抽牌""]"
UNL-194,"[""状态·以活跃进场"", ""主动·横置技能"", ""主动·支付费用技能"", ""状态·眩晕""]"
UNL-195,"[""触发·征服"", ""触发·据守"", ""状态·休眠化"", ""衍生·单位"", ""特性·属性联动"", ""持续·光环常驻""]"
UNL-196,"[""状态·以活跃进场"", ""特性·属性联动"", ""费用·条件减费"", ""触发·进攻"", ""状态·眩晕""]"
UNL-197,"[""主动·横置技能"", ""资源·获得费用""]"
UNL-198,"[""移动·敌方"", ""战力·削弱""]"
UNL-199,"[""触发·征服"", ""触发·据守"", ""牌库·弃牌"", ""状态·休眠化"", ""衍生·单位"", ""复制·效果技能"", ""状态·以活跃进场""]"
UNL-200,"[""衍生·单位"", ""复制·效果技能"", ""状态·以活跃进场""]"
UNL-201,"[""触发·战斗"", ""经验·获得"", ""经验·消耗"", ""主动·横置技能"", ""增益·给予"", ""移动·单位"", ""互动·召回基地""]"
UNL-202,"[""移动·单位"", ""移动·敌方""]"
UNL-203,"[""触发·据守"", ""经验·获得"", ""经验·消耗"", ""主动·横置技能"", ""牌库·抽牌""]"
UNL-204,"[""牌库·放回""]"
UNL-205,"[""触发·打出"", ""战力·增强单体"", ""战力·增强本回合""]"
UNL-206,"[""触发·战斗"", ""触发·摧毁"", ""费用·可选额外"", ""保护·免死替身"", ""状态·休眠化"", ""互动·召回基地""]"
UNL-207,"[""触发·据守"", ""移动·单位"", ""互动·召回基地""]"
UNL-208,"[""持续·光环常驻"", ""战力·条件加成""]"
UNL-209,"[""触发·回合开始"", ""摧毁·单位"", ""牌库·抽牌""]"
UNL-210,"[""持续·光环常驻"", ""战力·削弱""]"
UNL-211,"[""持续·光环常驻"", ""触发·打出"", ""牌库·查看"", ""牌库·放回""]"
UNL-212,"[""触发·回合开始"", ""伤害·群体""]"
UNL-213,"[""持续·光环常驻"", ""主动·横置技能"", ""经验·获得""]"
UNL-214,"[""互动·返回手牌"", ""费用·可选额外"", ""符文·召出""]"
UNL-215,"[""频率·每回合限一次"", ""触发·打出"", ""移动·单位"", ""互动·召回基地""]"
UNL-216,"[""触发·据守""]"
UNL-217,"[""触发·征服"", ""伤害·过量伤害联动"", ""衍生·单位""]"
UNL-218,"[""触发·打出"", ""费用·可选额外"", ""增益·给予""]"
UNL-219,"[""触发·据守"", ""费用·加费""]"
UNL-T01,"[""持续·光环常驻"", ""移动·单位""]"
UNL-T02,[]
UNL-T03,"[""持续·光环常驻"", ""战力·增强群体"", ""特性·属性联动""]"
UNL-T05,"[""主动·横置技能"", ""资源·获得费用"", ""摧毁·装备""]"
UNL-T06,"[""触发·进场"", ""复制·效果技能""]"
UNL-T07,[]
